Player Name,Clean Name,From,To,Pos,Ht,Wt,Birth Date,Birth Date(TextToColumn),Birth_Year,RetireAge,Colleges,URL,player_id,birthday year,retire age,career length,Unnamed: 17,personId
DerMarr Johnson,DerMarr Johnson,2001,2008,F,9-Jun,201,5/5/1980,5/5/1980,1980,28,Cincinnati,https://www.basketball-reference.com/players/j/johnsde03.html,johnsde03,1980,28,7,,2035
Derrek Dickey,Derrek Dickey,1974,1978,F,7-Jun,218,3/20/1951,20/3/1951,1951,27,Cincinnati,https://www.basketball-reference.com/players/d/dickede01.html,dickede01,1951,27,4,,76564
Derrick Dial,Derrick Dial,2000,2004,G,4-Jun,184,12/20/1975,20/12/1975,1975,29,Eastern Michigan,https://www.basketball-reference.com/players/d/dialde01.html,dialde01,1975,29,4,,1760
Derrick Jones Jr.,Derrick Jones Jr.,2017,2025,F,5-Jun,210,2/15/1997,15/2/1997,1997,28,UNLV,https://www.basketball-reference.com/players/j/jonesde02.html,jonesde02,1997,28,8,,1627884
Derrick Walton,Derrick Walton,2018,2022,G,Jun-00,189,4/3/1995,3/4/1995,1995,27,Michigan,https://www.basketball-reference.com/players/w/waltode01.html,waltode01,1995,27,4,,1628476
Derrick Williams,Derrick Williams,2012,2018,F,8-Jun,240,5/25/1991,25/5/1991,1991,27,Arizona,https://www.basketball-reference.com/players/w/willide02.html,willide02,1991,27,6,,202682
Desmond Bane,Desmond Bane,2021,2025,G,5-Jun,215,6/25/1998,25/6/1998,1998,27,TCU,https://www.basketball-reference.com/players/b/banede01.html,banede01,1998,27,4,,1630217
Devin Booker,Devin Booker,2016,2025,G,6-Jun,206,10/30/1996,30/10/1996,1996,29,Kentucky,https://www.basketball-reference.com/players/b/bookede01.html,bookede01,1996,29,9,,1626164
Devin Gray,Devin Gray,1997,2000,F,7-Jun,240,5/31/1972,31/5/1972,1972,28,Clemson,https://www.basketball-reference.com/players/g/grayde01.html,grayde01,1972,28,3,,1070
Devin Vassell,Devin Vassell,2021,2025,G-F,5-Jun,200,8/23/2000,23/8/2000,2000,25,Florida State,https://www.basketball-reference.com/players/v/vassede01.html,vassede01,2000,25,4,,1630170
Devonte' Graham,Devonte' Graham,2019,2024,G,1-Jun,195,2/22/1995,22/2/1995,1995,29,Kansas,https://www.basketball-reference.com/players/g/grahade01.html,grahade01,1995,29,5,,1628984
DeWayne Scales,DeWayne Scales,1981,1984,F,8-Jun,208,12/28/1958,28/12/1958,1958,26,LSU,https://www.basketball-reference.com/players/s/scalede01.html,scalede01,1958,26,3,,78068
Dexter Pittman,Dexter Pittman,2011,2014,C,11-Jun,308,3/2/1988,2/3/1988,1988,26,Texas,https://www.basketball-reference.com/players/p/pittmde01.html,pittmde01,1988,26,3,,202354
Dick Cunningham,Dick Cunningham,1969,1975,C,10-Jun,245,7/11/1946,11/7/1946,1946,29,Murray State,https://www.basketball-reference.com/players/c/cunnidi01.html,cunnidi01,1946,29,6,,76485
Dick Farley,Dick Farley,1955,1959,G-F,4-Jun,190,4/13/1932,13/4/1932,1932,27,Indiana,https://www.basketball-reference.com/players/f/farledi01.html,farledi01,1932,27,4,,76693
Dick Garmaker,Dick Garmaker,1956,1961,G-F,3-Jun,200,10/29/1932,29/10/1932,1932,29,"Hibbing Community College, Minnesota",https://www.basketball-reference.com/players/g/garmadi01.html,garmadi01,1932,29,5,,76783
Eldo Garrett,Eldo Garrett,1970,1974,G,3-Jun,185,1/31/1947,31/1/1947,1947,27,Southern Illinois,https://www.basketball-reference.com/players/g/garredi01.html,garredi01,1947,27,4,modified,76788
Dick Gibbs,Dick Gibbs,1972,1976,F-G,5-Jun,210,12/20/1948,20/12/1948,1948,28,Texas-El Paso,https://www.basketball-reference.com/players/g/gibbsdi01.html,gibbsdi01,1948,28,4,,76807
Dick O'Keefe,Dick O'Keefe,1948,1951,G-F,2-Jun,185,9/29/1923,29/9/1923,1923,28,Santa Clara,https://www.basketball-reference.com/players/o/okeefdi01.html,okeefdi01,1923,28,3,,77752
Dillard Crocker,Dillard Crocker,1949,1953,F-G,4-Jun,205,1/19/1925,19/1/1925,1925,28,Western Michigan,https://www.basketball-reference.com/players/c/crockdi01.html,crockdi01,1925,28,4,,76473
Dillon Brooks,Dillon Brooks,2018,2025,F-G,6-Jun,225,1/22/1996,22/1/1996,1996,29,Oregon,https://www.basketball-reference.com/players/b/brookdi01.html,brookdi01,1996,29,7,,1628415
Dion Glover,Dion Glover,2000,2005,G,5-Jun,228,10/22/1978,22/10/1978,1978,27,Georgia Tech,https://www.basketball-reference.com/players/g/glovedi01.html,glovedi01,1978,27,5,,1901
Dion Waiters,Dion Waiters,2013,2020,G,3-Jun,215,12/10/1991,10/12/1991,1991,29,Syracuse,https://www.basketball-reference.com/players/w/waitedi01.html,waitedi01,1991,29,7,,203079
Domantas Sabonis,Domantas Sabonis,2017,2025,C-F,10-Jun,240,5/3/1996,3/5/1996,1996,29,Gonzaga,https://www.basketball-reference.com/players/s/sabondo01.html,sabondo01,1996,29,8,,1627734
Dominic McGuire,Dominic McGuire,2008,2013,F,9-Jun,220,10/20/1985,20/10/1985,1985,28,"California, Fresno State",https://www.basketball-reference.com/players/m/mcguido01.html,mcguido01,1985,28,5,,201187
Don Boven,Don Boven,1950,1953,F-G,4-Jun,210,3/6/1925,6/3/1925,1925,28,Western Michigan,https://www.basketball-reference.com/players/b/bovendo01.html,bovendo01,1925,28,3,,76214
Don Collins,Don Collins,1981,1987,F-G,6-Jun,190,11/28/1958,28/11/1958,1958,29,Washington State,https://www.basketball-reference.com/players/c/collido02.html,collido02,1958,29,6,,76418
Don Lofgran,Don Lofgran,1951,1954,F-C,5-Jun,200,11/8/1929,8/11/1929,1929,25,San Francisco,https://www.basketball-reference.com/players/l/lofgrdo01.html,lofgrdo01,1929,25,3,,77402
Don May,Don May,1969,1975,F,4-Jun,200,1/3/1946,3/1/1946,1946,29,Dayton,https://www.basketball-reference.com/players/m/maydo01.html,maydo01,1946,29,6,,77489
Don Putman,Don Putman,1947,1950,G,1-Jun,170,11/13/1922,13/11/1922,1922,28,Colorado,https://www.basketball-reference.com/players/p/putnado01.html,putnado01,1922,28,3,,77891
Don Savage,Don Savage,1952,1957,F-G,3-Jun,205,4/9/1928,9/4/1928,1928,29,LeMoyne College,https://www.basketball-reference.com/players/s/savagdo01.html,savagdo01,1928,29,5,,78066
Don Sidle,Don Sidle,1969,1972,F-C,8-Jun,215,6/21/1946,21/6/1946,1946,26,Oklahoma,https://www.basketball-reference.com/players/s/sidledo01.html,sidledo01,1946,26,3,,
Donald Hodge,Donald Hodge,1992,1996,C,Jul-00,230,2/25/1969,25/2/1969,1969,27,Temple,https://www.basketball-reference.com/players/h/hodgedo01.html,hodgedo01,1969,27,4,,1106
Donald Sloan,Donald Sloan,2012,2016,G,3-Jun,205,1/15/1988,15/1/1988,1988,28,Texas A&M,https://www.basketball-reference.com/players/s/sloando01.html,sloando01,1988,28,4,,202388
Donatas Motiejūnas,Donatas Motiejūnas,2013,2019,F-C,Jul-00,222,9/20/1990,20/9/1990,1990,29,,https://www.basketball-reference.com/players/m/motiedo01.html,motiedo01,1990,29,6,,202700
Donnell Harvey,Donnell Harvey,2001,2005,F,8-Jun,220,8/26/1980,26/8/1980,1980,25,Florida,https://www.basketball-reference.com/players/h/harvedo01.html,harvedo01,1980,25,4,,2051
Donovan Mitchell,Donovan Mitchell,2018,2025,G,3-Jun,215,9/7/1996,7/9/1996,1996,29,Louisville,https://www.basketball-reference.com/players/m/mitchdo01.html,mitchdo01,1996,29,7,,1628378
Donté Greene,Donté Greene,2009,2012,F,11-Jun,226,2/21/1988,21/2/1988,1988,24,Syracuse,https://www.basketball-reference.com/players/g/greendo01.html,greendo01,1988,24,3,,201590
Donte DiVincenzo,Donte DiVincenzo,2019,2025,G,4-Jun,203,1/31/1997,31/1/1997,1997,28,Villanova,https://www.basketball-reference.com/players/d/divindo01.html,divindo01,1997,28,6,,1628978
Dontonio Wingfield,Dontonio Wingfield,1995,1998,F,8-Jun,256,6/23/1974,23/6/1974,1974,24,Cincinnati,https://www.basketball-reference.com/players/w/wingfdo01.html,wingfdo01,1974,24,3,,112
Dorie Murrey,Dorie Murrey,1967,1972,F-C,8-Jun,215,9/7/1943,7/9/1943,1943,29,Detroit Mercy,https://www.basketball-reference.com/players/m/murredo01.html,murredo01,1943,29,5,,77676
Doug Smith,Doug Smith,1992,1996,F,10-Jun,220,9/17/1969,17/9/1969,1969,27,Missouri,https://www.basketball-reference.com/players/s/smithdo03.html,smithdo03,1969,27,4,,475
Dražen Petrović*,Dražen Petrović,1990,1993,G,5-Jun,195,10/22/1964,22/10/1964,1964,29,,https://www.basketball-reference.com/players/p/petrodr01.html,petrodr01,1964,29,3,,77845
Dragan Bender,Dragan Bender,2017,2020,F,Jul-00,225,11/17/1997,17/11/1997,1997,23,,https://www.basketball-reference.com/players/b/bendedr01.html,bendedr01,1997,23,3,,1627733
Drew Eubanks,Drew Eubanks,2019,2025,F,9-Jun,245,2/1/1997,1/2/1997,1997,28,Oregon State,https://www.basketball-reference.com/players/e/eubandr01.html,eubandr01,1997,28,6,,1629234
Duane Washington,Duane Washington,1988,1993,G,4-Jun,195,8/31/1964,31/8/1964,1964,29,Middle Tennessee,https://www.basketball-reference.com/players/w/washidu01.html,washidu01,1964,29,5,,78464
Dwayne Bacon,Dwayne Bacon,2018,2021,G,6-Jun,221,8/30/1995,30/8/1995,1995,26,Florida State,https://www.basketball-reference.com/players/b/bacondw01.html,bacondw01,1995,26,3,,1628407
Dwayne Jones,Dwayne Jones,2006,2010,F-C,11-Jun,250,6/9/1983,9/6/1983,1983,27,Saint Joseph's,https://www.basketball-reference.com/players/j/jonesdw02.html,jonesdw02,1983,27,4,,101204
Dwight Buycks,Dwight Buycks,2014,2018,G,3-Jun,190,3/6/1989,6/3/1989,1989,29,Marquette,https://www.basketball-reference.com/players/b/buyckdw01.html,buyckdw01,1989,29,4,,202779
Dwight Davis,Dwight Davis,1973,1977,F,8-Jun,220,10/28/1949,28/10/1949,1949,28,Houston,https://www.basketball-reference.com/players/d/davisdw01.html,davisdw01,1949,28,4,,
Dwight Waller,Dwight Waller,1969,1972,F,6-Jun,220,10/5/1945,5/10/1945,1945,27,Tennessee State,https://www.basketball-reference.com/players/w/walledw01.html,walledw01,1945,27,3,,78444
Dylan Windler,Dylan Windler,2021,2024,G-F,6-Jun,196,9/22/1996,22/9/1996,1996,28,Belmont,https://www.basketball-reference.com/players/w/windldy01.html,windldy01,1996,28,3,,1629685
E.C. Coleman,E.C. Coleman,1974,1979,F,8-Jun,225,9/25/1950,25/9/1950,1950,29,Houston Baptist University,https://www.basketball-reference.com/players/c/colemec01.html,colemec01,1950,29,5,,76413
Earl Clark,Earl Clark,2010,2015,F,10-Jun,225,1/17/1988,17/1/1988,1988,27,Louisville,https://www.basketball-reference.com/players/c/clarkea01.html,clarkea01,1988,27,5,,201947
Earl Tatum,Earl Tatum,1977,1980,G-F,5-Jun,185,7/26/1953,26/7/1953,1953,27,Marquette,https://www.basketball-reference.com/players/t/tatumea01.html,tatumea01,1953,27,3,,78294
Earl Williams,Earl Williams,1975,1979,C-F,7-Jun,230,3/24/1951,24/3/1951,1951,28,Winston-Salem State,https://www.basketball-reference.com/players/w/williea01.html,williea01,1951,28,4,,78546
Ed Burton,Ed Burton,1962,1965,F,6-Jun,225,8/13/1939,13/8/1939,1939,26,Michigan State,https://www.basketball-reference.com/players/b/burtoed01.html,burtoed01,1939,26,3,,76314
Ed Conlin,Ed Conlin,1956,1962,F-G,5-Jun,200,9/2/1933,2/9/1933,1933,29,Fordham,https://www.basketball-reference.com/players/c/conlied01.html,conlied01,1933,29,6,,76429
Ed Fleming,Ed Fleming,1956,1960,G-F,3-Jun,189,7/25/1933,25/7/1933,1933,27,Niagara University,https://www.basketball-reference.com/players/f/flemied01.html,flemied01,1933,27,4,,76723
Ed Mikan,Ed Mikan,1949,1954,C-F,8-Jun,230,10/20/1925,20/10/1925,1925,29,DePaul,https://www.basketball-reference.com/players/m/mikaned01.html,mikaned01,1925,29,5,,77590
Ed Ratleff,Ed Ratleff,1974,1978,F-G,6-Jun,195,3/29/1950,29/3/1950,1950,28,Cal State Long Beach,https://www.basketball-reference.com/players/r/ratleed01.html,ratleed01,1950,28,4,,77914
Eddie Griffin,Eddie Griffin,2002,2007,F-C,10-Jun,220,5/30/1982,30/5/1982,1982,25,Seton Hall,https://www.basketball-reference.com/players/g/griffed01.html,griffed01,1982,25,5,,2204
Eddie Jordan,Eddie Jordan,1978,1984,G,1-Jun,170,1/29/1955,29/1/1955,1955,29,Rutgers University,https://www.basketball-reference.com/players/j/jordaed01.html,jordaed01,1955,29,6,,77205
Eddie Robinson,Eddie Robinson,2000,2004,G-F,8-Jun,210,4/19/1976,19/4/1976,1976,28,University of Central Oklahoma,https://www.basketball-reference.com/players/r/robined01.html,robined01,1976,28,4,,1944
Edmond Sumner,Edmond Sumner,2018,2023,G,4-Jun,196,12/31/1995,31/12/1995,1995,28,Xavier,https://www.basketball-reference.com/players/s/sumneed01.html,sumneed01,1995,28,5,,1628410
Elliot Williams,Elliot Williams,2012,2016,G,5-Jun,190,6/20/1989,20/6/1989,1989,27,"Duke, Memphis",https://www.basketball-reference.com/players/w/williel01.html,williel01,1989,27,4,,202343
Elmore Spencer,Elmore Spencer,1993,1997,C,Jul-00,270,12/6/1969,6/12/1969,1969,28,"Georgia, UNLV",https://www.basketball-reference.com/players/s/spencel01.html,spencel01,1969,28,4,,771
Emanuel Terry,Emanuel Terry,2019,2022,F,9-Jun,220,8/21/1996,21/8/1996,1996,26,Lincoln Memorial,https://www.basketball-reference.com/players/t/terryem01.html,terryem01,1996,26,3,,1629150
Emmanuel Mudiay,Emmanuel Mudiay,2016,2022,G,3-Jun,200,3/5/1996,5/3/1996,1996,26,,https://www.basketball-reference.com/players/m/mudiaem01.html,mudiaem01,1996,26,6,,1626144
Eric Maynor,Eric Maynor,2010,2014,G,3-Jun,175,6/11/1987,11/6/1987,1987,27,VCU,https://www.basketball-reference.com/players/m/maynoer01.html,maynoer01,1987,27,4,,201953
Eric Money,Eric Money,1975,1980,G,Jun-00,170,2/6/1955,6/2/1955,1955,25,Arizona,https://www.basketball-reference.com/players/m/moneyer01.html,moneyer01,1955,25,5,,77627
Eric Moreland,Eric Moreland,2015,2019,F-C,10-Jun,238,12/24/1991,24/12/1991,1991,28,Oregon State,https://www.basketball-reference.com/players/m/moreler01.html,moreler01,1991,28,4,,203961
Eric Riley,Eric Riley,1994,1999,C,Jul-00,245,6/2/1970,2/6/1970,1970,29,Michigan,https://www.basketball-reference.com/players/r/rileyer01.html,rileyer01,1970,29,5,,35
Ernie DiGregorio,Ernie DiGregorio,1974,1978,G,Jun-00,180,1/15/1951,15/1/1951,1951,27,Providence,https://www.basketball-reference.com/players/d/digreer01.html,digreer01,1951,27,4,,76568
Ernie Vandeweghe,Ernie Vandeweghe,1950,1956,F-G,3-Jun,195,9/12/1928,12/9/1928,1928,28,Colgate,https://www.basketball-reference.com/players/v/vandeer01.html,vandeer01,1928,28,6,,78405
Etdrick Bohannon,Etdrick Bohannon,1998,2001,F,9-Jun,220,5/29/1973,29/5/1973,1973,28,"Arizona, Tennessee, Auburn University at Montgomery",https://www.basketball-reference.com/players/b/bohanet01.html,bohanet01,1973,28,3,,1564
Evan Eschmeyer,Evan Eschmeyer,2000,2003,C,11-Jun,255,5/30/1975,30/5/1975,1975,28,Northwestern,https://www.basketball-reference.com/players/e/eschmev01.html,eschmev01,1975,28,3,,1915
Evan Mobley,Evan Mobley,2022,2025,F-C,11-Jun,215,6/18/2001,18/6/2001,2001,24,USC,https://www.basketball-reference.com/players/m/mobleev01.html,mobleev01,2001,24,3,,1630596
Felipe López,Felipe López,1999,2002,G,5-Jun,199,12/19/1974,19/12/1974,1974,28,St. John's,https://www.basketball-reference.com/players/l/lopezfe01.html,lopezfe01,1974,28,3,,1732
Festus Ezeli,Festus Ezeli,2013,2016,C,11-Jun,255,10/21/1989,21/10/1989,1989,27,Vanderbilt,https://www.basketball-reference.com/players/e/ezelife01.html,ezelife01,1989,27,3,,203105
Frank Card,Frank Card,1969,1973,F,7-Jun,195,12/28/1944,28/12/1944,1944,29,South Carolina State,https://www.basketball-reference.com/players/c/cardfr01.html,cardfr01,1944,29,4,,
Frank Jackson,Frank Jackson,2019,2023,G,3-Jun,205,5/4/1998,4/5/1998,1998,25,Duke,https://www.basketball-reference.com/players/j/jacksfr01.html,jacksfr01,1998,25,4,,1628402
Frank Kudelka,Frank Kudelka,1950,1953,G-F,2-Jun,193,6/25/1925,25/6/1925,1925,28,Saint Mary's,https://www.basketball-reference.com/players/k/kudelfr01.html,kudelfr01,1925,28,3,,77319
Frank Mason III,Frank Mason III,2018,2021,G,11-May,190,4/3/1994,3/4/1994,1994,27,Kansas,https://www.basketball-reference.com/players/m/masonfr01.html,masonfr01,1994,27,3,,1628412
Frank Ntilikina,Frank Ntilikina,2018,2024,G,4-Jun,200,7/28/1998,28/7/1998,1998,26,,https://www.basketball-reference.com/players/n/ntilila01.html,ntilila01,1998,26,6,,1628373
Franklin Edwards,Franklin Edwards,1982,1988,G,1-Jun,170,2/2/1959,2/2/1959,1959,29,Cleveland State University,https://www.basketball-reference.com/players/e/edwarfr01.html,edwarfr01,1959,29,6,,76641
Franz Wagner,Franz Wagner,2022,2025,G-F,10-Jun,225,8/27/2001,27/8/2001,2001,24,Michigan,https://www.basketball-reference.com/players/w/wagnefr01.html,wagnefr01,2001,24,3,,1630532
Fred Hetzel,Fred Hetzel,1966,1971,F-C,8-Jun,220,7/21/1942,21/7/1942,1942,29,Davidson,https://www.basketball-reference.com/players/h/hetzefr01.html,hetzefr01,1942,29,5,,77012
Fred Saunders,Fred Saunders,1975,1978,F,7-Jun,210,6/13/1951,13/6/1951,1951,27,Syracuse,https://www.basketball-reference.com/players/s/saundfr01.html,saundfr01,1951,27,3,,78065
Fred Schaus,Fred Schaus,1950,1954,F,5-Jun,205,6/30/1925,30/6/1925,1925,29,West Virginia,https://www.basketball-reference.com/players/s/schaufr01.html,schaufr01,1925,29,4,,78075
Fred Vinson,Fred Vinson,1995,2000,G,4-Jun,190,1/28/1971,28/1/1971,1971,29,Georgia Tech,https://www.basketball-reference.com/players/v/vinsofr01.html,vinsofr01,1971,29,5,,1844
Fred Boyd,Fred Boyd,1973,1978,G,2-Jun,180,6/13/1950,13/6/1950,1950,28,Oregon State,https://www.basketball-reference.com/players/b/boydfr01.html,boydfr01,1950,28,5,modified,76222
Furkan Korkmaz,Furkan Korkmaz,2018,2024,G,7-Jun,202,7/24/1997,24/7/1997,1997,27,,https://www.basketball-reference.com/players/k/korkmfu01.html,korkmfu01,1997,27,6,,1627788
Gabe Vincent,Gabe Vincent,2020,2025,G,3-Jun,195,6/14/1996,14/6/1996,1996,29,UC Santa Barbara,https://www.basketball-reference.com/players/v/vincega01.html,vincega01,1996,29,5,,1629216
Garrison Mathews,Garrison Mathews,2020,2025,G,5-Jun,215,10/24/1996,24/10/1996,1996,29,Lipscomb,https://www.basketball-reference.com/players/m/mathega01.html,mathega01,1996,29,5,,1629726
Gary Bradds,Gary Bradds,1965,1971,F,8-Jun,210,7/26/1942,26/7/1942,1942,29,Ohio State,https://www.basketball-reference.com/players/b/braddga01.html,braddga01,1942,29,6,,76227
Gary Brokaw,Gary Brokaw,1975,1978,G,4-Jun,178,1/11/1954,11/1/1954,1954,24,Notre Dame,https://www.basketball-reference.com/players/b/brokaga01.html,brokaga01,1954,24,3,,76263
Gary Clark,Gary Clark,2019,2022,F,6-Jun,225,11/16/1994,16/11/1994,1994,28,Cincinnati,https://www.basketball-reference.com/players/c/clarkga01.html,clarkga01,1994,28,3,,1629109
Gary Gregor,Gary Gregor,1969,1974,F-C,7-Jun,225,8/13/1945,13/8/1945,1945,29,South Carolina,https://www.basketball-reference.com/players/g/gregoga01.html,gregoga01,1945,29,5,,76883
Gary Phillips,Gary Phillips,1962,1966,G,3-Jun,189,12/7/1939,7/12/1939,1939,27,Houston,https://www.basketball-reference.com/players/p/phillga01.html,phillga01,1939,27,4,,77855
Gary Trent Jr.,Gary Trent Jr.,2019,2025,G,5-Jun,209,1/18/1999,18/1/1999,1999,26,Duke,https://www.basketball-reference.com/players/t/trentga02.html,trentga02,1999,26,6,,1629018
Gene Banks,Gene Banks,1982,1987,F-G,7-Jun,215,5/15/1959,15/5/1959,1959,28,Duke,https://www.basketball-reference.com/players/b/banksge01.html,banksge01,1959,28,5,,76093
Gene Guarilia,Gene Guarilia,1960,1963,F,5-Jun,220,9/13/1937,13/9/1937,1937,26,George Washington,https://www.basketball-reference.com/players/g/guarige01.html,guarige01,1937,26,3,,76900
Gene Vance,Gene Vance,1948,1952,G-F,3-Jun,195,2/25/1923,25/2/1923,1923,29,Illinois,https://www.basketball-reference.com/players/v/vancege01.html,vancege01,1923,29,4,,78402
Jeffrey Crompton,Jeffrey Crompton,1979,1984,C,11-Jun,280,7/4/1955,4/7/1955,1955,29,UNC,https://www.basketball-reference.com/players/c/crompge01.html,crompge01,1955,29,5,modified,76474
Geoff Petrie,Geoff Petrie,1971,1976,G,4-Jun,190,4/17/1948,17/4/1948,1948,28,Princeton,https://www.basketball-reference.com/players/p/petrige01.html,petrige01,1948,28,5,,77844
George Feigenbaum,George Feigenbaum,1950,1953,G,1-Jun,185,7/2/1928,2/7/1928,1928,25,Kentucky,https://www.basketball-reference.com/players/f/feigege01.html,feigege01,1928,25,3,,76702
George Irvine,George Irvine,1971,1976,F-G,6-Jun,200,2/1/1948,1/2/1948,1948,28,Washington,https://www.basketball-reference.com/players/i/irvinge01.html,irvinge01,1948,28,5,,
George Johnson,George Johnson,1971,1974,C,11-Jun,245,6/19/1947,19/6/1947,1947,27,Stephen F. Austin,https://www.basketball-reference.com/players/j/johnsge01.html,johnsge01,1947,27,3,,77147
George Kaftan,George Kaftan,1949,1953,F,3-Jun,190,2/22/1928,22/2/1928,1928,25,Holy Cross,https://www.basketball-reference.com/players/k/kaftage01.html,kaftage01,1928,25,4,,77218
George Karl*,George Karl,1974,1978,G,2-Jun,190,5/12/1951,12/5/1951,1951,27,UNC,https://www.basketball-reference.com/players/k/karlge01.html,karlge01,1951,27,4,,77223
George King,George King,2019,2022,G-F,6-Jun,225,1/15/1994,15/1/1994,1994,28,Colorado,https://www.basketball-reference.com/players/k/kingge03.html,kingge03,1994,28,3,,1628994
George Nostrand,George Nostrand,1947,1950,C-F,8-Jun,195,1/25/1924,25/1/1924,1924,26,Wyoming,https://www.basketball-reference.com/players/n/nostrge01.html,nostrge01,1924,26,3,,77734
George Stone,George Stone,1969,1972,F,7-Jun,195,2/9/1946,9/2/1946,1946,26,Marshall,https://www.basketball-reference.com/players/s/stonege01.html,stonege01,1946,26,3,,
George Thompson,George Thompson,1970,1975,G,2-Jun,200,11/29/1947,29/11/1947,1947,28,Marquette,https://www.basketball-reference.com/players/t/thompge01.html,thompge01,1947,28,5,,78327
George Trapp,George Trapp,1972,1977,F-C,8-Jun,205,7/11/1948,11/7/1948,1948,29,Cal State Long Beach,https://www.basketball-reference.com/players/t/trappge01.html,trappge01,1948,29,5,,78366
George Wilson,George Wilson,1965,1971,C,8-Jun,225,5/9/1942,9/5/1942,1942,29,Cincinnati,https://www.basketball-reference.com/players/w/wilsoge01.html,wilsoge01,1942,29,6,,78579
Gerald Glass,Gerald Glass,1991,1996,G-F,5-Jun,221,11/12/1967,12/11/1967,1967,29,"Delta State University, Ole Miss",https://www.basketball-reference.com/players/g/glassge01.html,glassge01,1967,29,5,,76821
Gerald Madkins,Gerald Madkins,1994,1998,G,4-Jun,200,4/18/1969,18/4/1969,1969,29,UCLA,https://www.basketball-reference.com/players/m/madkige01.html,madkige01,1969,29,4,,1666
Gerald Paddio,Gerald Paddio,1991,1994,F-G,7-Jun,205,4/21/1965,21/4/1965,1965,29,UNLV,https://www.basketball-reference.com/players/p/paddige01.html,paddige01,1965,29,3,,77789
Gerry Ward,Gerry Ward,1964,1967,G,4-Jun,195,9/6/1941,6/9/1941,1941,26,Boston College,https://www.basketball-reference.com/players/w/wardge01.html,wardge01,1941,26,3,,78455
Gheorghe Mureșan,Gheorghe Mureșan,1994,2000,C,7-Jul,303,2/14/1971,14/2/1971,1971,29,,https://www.basketball-reference.com/players/m/muresgh01.html,muresgh01,1971,29,6,,49
Glen Combs,Glen Combs,1969,1975,G,2-Jun,185,10/30/1946,30/10/1946,1946,29,Virginia Tech,https://www.basketball-reference.com/players/c/combsgl01.html,combsgl01,1946,29,6,,
Glen Davis,Glen Davis,2008,2015,F-C,9-Jun,289,1/1/1986,1/1/1986,1986,29,LSU,https://www.basketball-reference.com/players/d/davisgl01.html,davisgl01,1986,29,7,,201175
Glen Gondrezick,Glen Gondrezick,1978,1983,F-G,6-Jun,218,8/30/1955,30/8/1955,1955,28,UNLV,https://www.basketball-reference.com/players/g/gondrgl01.html,gondrgl01,1955,28,5,,76830
Glenn Robinson III,Glenn Robinson III,2015,2021,G-F,6-Jun,222,1/8/1994,8/1/1994,1994,27,Michigan,https://www.basketball-reference.com/players/r/robingl02.html,robingl02,1994,27,6,,203922
ga Bitadze,ga Bitadze,2020,2025,C,11-Jun,250,7/20/1999,20/7/1999,1999,26,,https://www.basketball-reference.com/players/b/bitadgo01.html,bitadgo01,1999,26,5,modified,1629048
Eugene Kennedy,Eugene Kennedy,1972,1977,F-C,5-Jun,205,8/23/1949,23/8/1949,1949,28,"Fort Worth Community College, TCU",https://www.basketball-reference.com/players/k/kennego01.html,kennego01,1949,28,5,modified,77243
Grant Williams,Grant Williams,2020,2025,F,6-Jun,236,11/30/1998,30/11/1998,1998,27,Tennessee,https://www.basketball-reference.com/players/w/willigr01.html,willigr01,1998,27,5,,1629684
Granville Waiters,Granville Waiters,1984,1988,C,11-Jun,225,1/8/1961,8/1/1961,1961,27,Ohio State,https://www.basketball-reference.com/players/w/waitegr01.html,waitegr01,1961,27,4,,78430
Greg Graham,Greg Graham,1994,1998,G,4-Jun,174,11/26/1970,26/11/1970,1970,28,Indiana,https://www.basketball-reference.com/players/g/grahagr01.html,grahagr01,1970,28,4,,37
Greg Kelser,Greg Kelser,1980,1985,F,7-Jun,190,9/17/1957,17/9/1957,1957,28,Michigan State,https://www.basketball-reference.com/players/k/kelsegr01.html,kelsegr01,1957,28,5,,77239
Greg Minor,Greg Minor,1995,1999,G-F,6-Jun,210,9/18/1971,18/9/1971,1971,28,Louisville,https://www.basketball-reference.com/players/m/minorgr01.html,minorgr01,1971,28,4,,65
Greg Oden,Greg Oden,2009,2014,C,Jul-00,250,1/22/1988,22/1/1988,1988,26,Ohio State,https://www.basketball-reference.com/players/o/odengr01.html,odengr01,1988,26,5,,201141
Greg Smith,Greg Smith,2012,2016,C,10-Jun,250,1/8/1991,8/1/1991,1991,25,Fresno State,https://www.basketball-reference.com/players/s/smithgr02.html,smithgr02,1991,25,4,,202962
Greg Smith,Greg Smith,1969,1976,F,5-Jun,195,1/28/1947,28/1/1947,1947,29,Western Kentucky,https://www.basketball-reference.com/players/s/smithgr01.html,smithgr01,1947,29,7,,78190
Greg Stokes,Greg Stokes,1986,1990,F-C,10-Jun,220,8/5/1963,5/8/1963,1963,27,Iowa,https://www.basketball-reference.com/players/s/stokegr01.html,stokegr01,1963,27,4,,78264
Greg Sutton,Greg Sutton,1992,1996,G,2-Jun,170,12/3/1967,3/12/1967,1967,29,Oral Roberts,https://www.basketball-reference.com/players/s/suttogr01.html,suttogr01,1967,29,4,,357
Gus Bailey,Gus Bailey,1975,1980,G-F,5-Jun,185,2/18/1951,18/2/1951,1951,29,Texas-El Paso,https://www.basketball-reference.com/players/b/bailegu01.html,bailegu01,1951,29,5,,76083
